region,blueprint_id,print_provider_id,brand,model,product,variant_id,color,size,cost_usd,decoration_methods
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112804,Black,S,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112805,Black,M,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112806,Black,L,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112807,Black,XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112808,Black,3XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112809,Black,4XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112810,Black,5XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,112811,Black,2XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116295,Heather Grey,S,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116296,Heather Grey,M,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116297,Heather Grey,L,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116298,Heather Grey,XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116299,Heather Grey,2XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116300,Heather Grey,3XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116301,Heather Grey,4XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116302,Heather Grey,5XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116303,White,S,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116304,White,M,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116305,White,L,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116306,White,XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116307,White,2XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116308,White,3XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116309,White,4XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116310,White,5XL,20.59,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116311,Navy,S,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116312,Navy,M,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116313,Navy,L,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116314,Navy,XL,19.57,dtg
EU-DE,1627,26,Build Your Brand,BY102,Unisex Heavy Oversize Tee,116315,Navy,2XL,19.57,dtg
